unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
58,1.9856683008912064e+30,401843820248.6294,815764915413.9592,606154360730.7465,207656.71307453036,165156.407396909,299514.8566213511,0,10000
59,2.0074135305126082e+30,882469541519.5923,702129057872.969,558167085700.7797,317120.3920674099,273911.43946415465,217664.79453512246,0,10000
60,1.8164986852153708e+30,910734470905.0043,674550991085.4055,859929227056.5175,264132.280376455,199885.8065622588,231472.5999909482,0,10000
61,2.0578678842704343e+30,836360276225.2783,702090475413.5533,650721813322.1974,288482.0058661208,234237.10784494525,208006.79118038746,0,10000
62,2.4149595327238337e+30,984737535467.7643,441500078226.18054,645700641742.9916,178921.9065208328,254471.90953366144,282794.8386413776,0,10000
63,1.8917193308490845e+30,687123180485.5647,741578259125.15,615431447093.9701,159731.74099685746,253278.3002730513,280857.3986310103,0,10000
64,1.9822078692838136e+30,697656259041.4708,574840745077.722,677495550307.1975,225150.86674694155,334670.9166666764,282223.0520775097,0,10000
65,2.0669270855254325e+30,830212782992.1937,570293636030.7228,655706663939.2665,205847.6995745913,209468.46794838176,298950.70806133706,0,10000
66,2.2824733098165878e+30,915296397026.561,570269157502.6608,459031804558.6457,242786.89895459582,233857.27287955023,156333.01315429917,0,10000
67,2.2287500108457416e+30,729868179029.3762,618095604709.6987,876970929443.2567,274051.27837016905,254069.21266982885,257323.80470268795,0,10000
68,2.151462794994583e+30,762643084859.3363,741297883466.166,950921649378.2393,186637.8030950799,402489.5563740827,257198.2733079304,0,10000
69,1.66533387887548e+30,623663931409.2727,785736805901.6904,597566118839.1128,209801.11111699362,319336.83547641686,263758.80345003854,0,10000
70,1.8895172820723654e+30,1070625744316.4763,936958447651.3231,595980693848.7975,234236.40733105608,234442.3997102442,271776.03974121145,0,10000
71,1.8484564321319524e+30,722168380413.8683,938608056154.0267,526341376091.5092,179304.32818661464,257617.13866650523,285648.16017443314,0,10000
72,1.9886452684568474e+30,965909297747.9854,1061850395328.3192,885885589054.1572,166407.15065011012,316836.2884987664,274612.0999748686,0,10000
73,2.08342757169593e+30,891786514461.0331,785700921539.0089,707520164518.2052,182321.029382906,229197.30747765617,168174.6363350626,0,10000
74,2.2237264158066582e+30,607590500434.9034,813567140799.368,849429416955.6829,267131.26035392325,210693.9121153536,285686.02429706446,0,10000
75,1.971490646405565e+30,902729292018.9668,850706726359.5808,692405927671.3386,276378.9957806477,146408.45685566636,253400.20642880126,0,10000
76,1.980568590831071e+30,892386096281.9056,754343319075.6119,602445567682.4543,185073.6651090422,260609.38829137242,283870.58094393165,0,10000
77,1.8043442481764613e+30,800760071702.8835,646268012844.2844,878245919886.0658,237411.9848196868,194312.1201663361,228032.63518582177,0,10000
78,1.9093591983410004e+30,724307001861.8073,860978621743.6083,736141411874.3145,290557.66704687785,207581.74597320033,234355.15326945818,0,10000
79,1.7379183602718377e+30,487939566792.5801,840131549616.2833,651908585544.0875,189163.59353725347,261947.81369559784,156467.18822123294,0,10000
80,1.994444620117874e+30,886236910685.4384,797591246530.0594,789261801502.67,237883.68299419445,166629.34015191864,226656.7883659884,0,10000
81,1.8292516453247962e+30,742519417783.1305,775949015611.3512,802216737978.2007,288595.72134169744,253755.15046545427,305876.7028479309,0,10000
82,2.0416241023218545e+30,856616458748.5309,976266143464.8718,747857402857.2249,262496.7210909017,204365.8312997271,188757.78621870995,0,10000
83,2.060734113600274e+30,895687096039.9698,840727291750.2628,797214923267.0842,293331.8565320168,233141.094347327,249471.17850080537,0,10000
