unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
34,1.1310133833351519e+26,812592636278.0983,810546250578.3632,655411940374.8208,213261.18725083483,229278.1342511689,271418.62848400365,0,10000
35,6.51342341141028e+29,668649776368.2625,792219309908.188,805834959714.1334,256893.84200149833,224287.8161291954,282985.5745789197,0,10000
36,6.820071069605755e+27,766449348636.0148,1023165347671.4518,593550038263.7153,184136.8362593167,308491.1178485907,243962.94616724894,0,10000
37,9.726279943471987e+29,682301471800.0447,729862794468.6132,561033506785.3689,238864.9978782718,177379.07800556757,224849.0058247382,0,10000
38,2.279817687300653e+26,536010241217.8728,692775790566.8625,682528032129.1831,250469.7916922488,258849.17096925282,217581.93920598322,0,10000
39,8.811741147946022e+29,946569501943.4921,727261117404.0416,864917582389.373,294528.8983181293,195630.72986017924,198992.50709124937,0,10000
40,8.455889385752874e+29,731799630829.3032,701845353980.9337,933503821162.516,277693.6835930452,214117.2188901378,279341.80144300737,0,10000
41,8.316043858278576e+29,652869173355.9817,759387431947.6294,740753697298.2421,225248.27032603184,242784.13697096528,125954.97064825603,0,10000
42,1.7717983615403685e+26,797889343352.7926,903970953430.4954,880333302814.3048,251458.97884444424,230035.47640766075,308531.2418346847,0,10000
43,3.912467782727453e+26,506234675103.51636,842630574038.7136,426568305368.94135,253302.97890812223,181809.34893818968,242153.74439030196,0,10000
44,7.751030073412798e+29,431645760497.80176,764858721755.1226,592696303233.2894,202283.15385772806,266933.85608790553,195392.3871942229,0,10000
45,4.346007596756456e+28,490162490827.36725,858936729563.4578,891491592833.848,262301.46902747126,287473.88284934685,294953.5794260033,0,10000
46,4.432366548309339e+29,870819058851.2958,498617437187.6509,1025077739997.0405,194233.51579288248,309585.4966394656,209456.59466599513,0,10000
47,1.0555574988790796e+27,615058299623.0833,740248372858.8777,845939665439.8655,276940.902357368,310975.34781901893,262980.656662067,0,10000
48,9.427736487595933e+29,360863143276.59564,658307508488.9297,716951262841.5614,221498.51583503222,238519.12232730267,249320.1794015521,0,10000
